Open,High,Low,Close,Volume
179.5399932861328,179.64999389648438,179.13999938964844,179.2050018310547,1310839
179.1999969482422,179.5500030517578,179.16009521484375,179.38499450683594,712985
179.38499450683594,179.41990661621094,179.25,179.3385009765625,359622
179.3350067138672,179.3350067138672,179.1199951171875,179.3000030517578,273955
179.3000030517578,179.33999633789062,179.02999877929688,179.11500549316406,268654
179.1199951171875,179.24000549316406,179.09500122070312,179.23500061035156,329841
179.24000549316406,179.27000427246094,179.19500732421875,179.22999572753906,740779
179.33999633789062,180.35499572753906,179.33999633789062,180.21949768066406,2921985
180.22000122070312,180.52499389648438,180.0850067138672,180.3800048828125,797596
180.38499450683594,180.49000549316406,180.1320037841797,180.49000549316406,559966
180.49000549316406,180.66000366210938,180.41000366210938,180.5,746851
180.5,180.66000366210938,179.89999389648438,180.27000427246094,1549479
180.25999450683594,180.6199951171875,179.78500366210938,179.88999938964844,1384932
179.88999938964844,179.90499877929688,179.32000732421875,179.33909606933594,1085550
177.86000061035156,178.3350067138672,177.69000244140625,178.28500366210938,2458372
178.2899932861328,178.48500061035156,177.91000366210938,177.9149932861328,1019506
177.9149932861328,178.0500030517578,177.77000427246094,177.9600067138672,712391
177.97000122070312,178.13999938964844,177.94000244140625,178.13499450683594,586560
178.13999938964844,178.25,178.09500122070312,178.17999267578125,788008
178.1750030517578,178.2593994140625,178.09500122070312,178.18499755859375,457771
178.17999267578125,178.22650146484375,178.0399932861328,178.09500122070312,1003068
178.64999389648438,178.8699951171875,178.57000732421875,178.80999755859375,978445
178.82000732421875,178.9499969482422,178.72999572753906,178.7899932861328,551516
178.7989959716797,178.92999267578125,178.73500061035156,178.74000549316406,304159
178.72999572753906,178.75,178.5399932861328,178.63499450683594,421814
178.63499450683594,178.66000366210938,178.57000732421875,178.58970642089844,365979
178.5800018310547,178.6082000732422,178.50999450683594,178.57000732421875,0
178.5749969482422,178.64999389648438,178.57000732421875,178.6300048828125,3394512
178.41000366210938,178.7100067138672,177.66000366210938,177.77999877929688,2033622
177.77999877929688,178.0,177.71499633789062,177.9149932861328,821944
177.91000366210938,178.02000427246094,177.7449951171875,177.75999450683594,417831
177.77000427246094,177.88999938964844,177.69000244140625,177.88999938964844,321078
177.8800048828125,177.88499450683594,177.63999938964844,177.8000030517578,409408
177.8000030517578,177.80999755859375,177.64999389648438,177.72999572753906,734151
177.72999572753906,177.75,177.6699981689453,177.6999969482422,591387
176.8249969482422,177.13999938964844,176.6750030517578,177.00999450683594,1532505
177.02499389648438,177.02499389648438,176.30999755859375,176.56500244140625,1397359
176.55999755859375,176.7100067138672,176.3300018310547,176.5,630138
176.50100708007812,176.5800018310547,176.30999755859375,176.41000366210938,640346
176.4199981689453,176.4499969482422,176.17999267578125,176.23500061035156,804003
176.24000549316406,176.33999633789062,176.16000366210938,176.23500061035156,778747
176.24000549316406,176.33999633789062,176.23500061035156,176.2899932861328,974269
175.27000427246094,175.32000732421875,174.80999755859375,175.02000427246094,0
175.02000427246094,175.0399932861328,174.3699951171875,174.42999267578125,3852427
174.44000244140625,174.6750030517578,174.10000610351562,174.1219940185547,1127629
174.1300048828125,174.1699981689453,173.76499938964844,173.7899932861328,2089358
173.7949981689453,173.9600067138672,173.6999969482422,173.85000610351562,940484
173.84719848632812,174.2449951171875,173.83999633789062,174.08999633789062,1281969
174.08999633789062,174.1300048828125,173.97000122070312,174.10000610351562,1144041
173.88999938964844,174.13499450683594,173.58999633789062,173.67999267578125,2236189
173.67999267578125,173.67999267578125,172.32000732421875,172.63499450683594,2765868
172.63499450683594,173.10000610351562,172.57000732421875,172.9700927734375,1122026
